,X,Y,CLUSTER
LEFT,-4.7742,0.5359,2
LEFT,-4.5761,-1.3897,2
LEFT,-4.6934,-1.2958,2
LEFT,-5.4856,-0.5943,2
LEFT,-4.8934,2.5357,2
LEFT,-5.2175,-2.6401,2
LEFT,-4.1066,-2.5742,2
LEFT,-5.0593,-1.6501,2
LEFT,-5.1463,2.6365,2
LEFT,-4.8443,-2.5926,2
LEFT,-4.2346,-1.8686,2
LEFT,-5.2388,2.9606,2
LEFT,-5.3431,-2.1482,2
LEFT,-5.2186,1.358,2
LEFT,-5.6791,-1.4256,2
LEFT,-5.0114,1.7733,2
LEFT,-4.9109,1.3127,2
LEFT,-5.0749,-1.294,2
LEFT,-5.4201,0.7948,2
LEFT,-4.37,-1.8265,2
LEFT,-4.6147,-0.2065,2
LEFT,-5.5075,-2.7978,2
LEFT,-4.471,-1.6276,2
LEFT,-5.8642,-2.7463,2
LEFT,-4.2782,-1.4864,2
LEFT,-4.8919,-2.8039,2
LEFT,-4.8373,-2.7089,2
LEFT,-4.8445,-1.6386,2
LEFT,-4.0117,-1.9554,2
LEFT,-5.2027,2.4408,2
LEFT,-5.7309,-2.3112,2
LEFT,-5.4206,0.7029,2
LEFT,-5.1545,-1.4173,2
LEFT,-4.918,2.4777,2
LEFT,-4.2963,-2.0592,2
LEFT,-4.6449,0.9897,2
LEFT,-4.7773,-0.7040000000000001,2
LEFT,-5.0975,0.8515,2
LEFT,-4.6026,-2.2506,2
LEFT,-5.0992,-0.6462,2
LEFT,-4.1056,-2.4973,2
LEFT,-4.3383,-1.9964,2
LEFT,-4.0693,-2.0233,2
LEFT,-4.4658,-2.8036,2
LEFT,-4.3693,-2.3052,2
LEFT,-4.7127,-2.1574,2
LEFT,-4.953,0.3675,2
LEFT,-5.7824,-1.3357,2
LEFT,-4.7581,0.8049,2
LEFT,-5.0818,0.3403,2
LEFT,-4.1754,-1.9704,2
LEFT,-4.0138,-1.6982,2
LEFT,-5.4696,-0.9922,2
LEFT,-4.9339,1.9269999999999998,2
LEFT,-4.3001,-1.8658,2
LEFT,-5.6258,-2.7951,2
LEFT,-4.206,-2.2319999999999998,2
LEFT,-5.1425,0.7305,2
LEFT,-5.0284,0.9699,2
LEFT,-4.8504,-2.3902,2
LEFT,-5.0213,-1.8933,2
LEFT,-5.4019,0.8,2
LEFT,-4.728,0.1172,2
LEFT,-5.3174,0.1502,2
LEFT,-5.2504,0.9534,2
LEFT,-4.5486,-1.0337,2
LEFT,-5.8927,-1.2699,2
LEFT,-4.2594,-2.1723,2
LEFT,-4.4588,-1.6545,2
LEFT,-4.9629,1.6308,2
LEFT,-4.9977,-2.6263,2
LEFT,-4.897,2.8619,2
LEFT,-5.1979999999999995,2.4557,2
LEFT,-4.6593,-0.2221,2
LEFT,-4.8923,2.6756,2
LEFT,-4.1888,-2.4989,2
LEFT,-5.0792,-0.9107,2
LEFT,-5.0280000000000005,0.0492,2
LEFT,-5.1977,-2.5318,2
LEFT,-5.14,-1.84,2
LEFT,-5.1942,-1.3515,2
LEFT,-5.5762,-2.9511,2
LEFT,-4.3328,-1.9069999999999998,2
LEFT,-4.9315,-1.0219,2
LEFT,-5.8544,-1.1068,2
LEFT,-5.1241,-1.0276,2
LEFT,-4.8849,2.4959,2
LEFT,-4.055,-1.3238,2
LEFT,-4.9443,1.7341,2
LEFT,-4.4174,-1.5045,2
LEFT,-5.3257,0.7652,2
LEFT,-4.5553,-1.4128,2
LEFT,-5.7326,-1.5795,2
LEFT,-5.9736,-1.4206,2
LEFT,-4.9272,0.2449,2
LEFT,-5.9195,-2.7889999999999997,2
LEFT,-5.9079,-2.5405,2
LEFT,-4.3892,-1.6788,2
LEFT,-4.1935,-1.3025,2
LEFT,-4.4425,-1.5826,2
LEFT,-5.098,-1.5924,2
LEFT,-5.27,-1.8841,2
LEFT,-5.1346,2.9082,2
LEFT,-4.2358,-2.3013,2
LEFT,-5.1661,-2.8256,2
LEFT,-5.3632,-1.0247,2
LEFT,-4.8175,0.9629,2
LEFT,-4.2123,-1.5307,2
LEFT,-4.5844,-2.2322,2
LEFT,-5.3765,-2.659,2
LEFT,-5.0708,-2.3126,2
LEFT,-4.9658,-2.9149,2
LEFT,-4.171,-2.5457,2
LEFT,-4.6058,-2.8468,2
LEFT,-5.1762,1.7455,2
LEFT,-4.9076,-2.6992,2
LEFT,-5.9425,-1.9532,2
LEFT,-4.9639,1.1843,2
LEFT,-4.8649,-2.0841,2
LEFT,-5.6845,-1.4698,2
LEFT,-4.1281,-1.0165,2
LEFT,-5.2045,1.2305,2
LEFT,-4.6042,-2.371,2
LEFT,-4.5023,-2.6239,2
LEFT,-4.7513,-1.3931,2
LEFT,-4.7249,-1.2425,2
LEFT,-5.8325,-2.4665,2
LEFT,-5.4508,-0.8654,2
LEFT,-5.0273,-1.0729,2
LEFT,-5.2644,-2.3478,2
LEFT,-5.188,2.9446,2
LEFT,-4.4823,-2.248,2
LEFT,-4.7499,-0.8745,2
LEFT,-5.0521,1.1588,2
LEFT,-5.0205,-0.226,2
LEFT,-4.5271,-2.5546,2
LEFT,-4.5108,-2.5255,2
LEFT,-4.0649,-2.4563,2
LEFT,-5.0053,-1.2358,2
LEFT,-4.1084,-1.892,2
LEFT,-4.3497,-2.5584,2
LEFT,-4.3506,-2.9617,2
LEFT,-4.3717,-1.7831,2
LEFT,-4.7889,1.9921,2
LEFT,-5.3376,-2.356,2
LEFT,-4.8162,1.4055,2
LEFT,-5.7235,-1.0853,2
LEFT,-4.8265,-0.0319,2
LEFT,-5.1404,1.0728,2
LEFT,-5.4239,0.4289,2
LEFT,-5.9057,-2.2395,2
LEFT,-5.496,-2.4349,2
LEFT,-4.6471,-1.7361,2
LEFT,-4.735,-2.9832,2
LEFT,-5.1431,-2.7037,2
LEFT,-5.8662,-1.317,2
LEFT,-5.1262,-0.5643,2
LEFT,-5.9871,-1.3349,2
LEFT,-4.768,2.5492,2
LEFT,-5.3705,-1.8940000000000001,2
LEFT,-4.025,-2.1771,2
LEFT,-5.7493,-1.2997,2
LEFT,-4.753,-1.7191,2
LEFT,-4.5068,0.8696,2
LEFT,-5.771,-2.8007,2
LEFT,-5.1339999999999995,1.7517,2
LEFT,-5.046,1.3533,2
LEFT,-4.507,0.5227,2
LEFT,-5.2328,1.5547,2
LEFT,-4.5258,-1.4586,2
LEFT,-4.9186,-2.5303,2
LEFT,-5.9428,-1.9183,2
LEFT,-4.4830000000000005,-2.2788,2
LEFT,-4.1119,-2.4614,2
LEFT,-4.2352,-1.5584,2
LEFT,-5.4106,-2.3403,2
LEFT,-5.3689,0.4814,2
LEFT,-4.6394,0.4528,2
LEFT,-4.039,-2.0312,2
LEFT,-4.9214,2.9960000000000004,2
LEFT,-4.2951,-2.7249,2
LEFT,-4.581,-0.9752,2
LEFT,-4.0872,-2.29,2
LEFT,-5.0318,2.5759,2
LEFT,-5.3388,0.9164,2
LEFT,-5.9384,-2.5118,2
LEFT,-5.2662,-1.7364,2
LEFT,-4.7369,-1.03,2
LEFT,-4.5671,0.7955,2
LEFT,-4.4706,-2.9712,2
LEFT,-5.2271,-2.2693,2
LEFT,-5.0083,2.3834,2
LEFT,-5.0111,-0.7108,2
LEFT,-5.013,-2.4625,2
LEFT,-4.1654,-2.9901,2
LEFT,-5.2016,-0.8338,2
LEFT,-5.4333,-0.3504,2
LEFT,-4.5975,-1.8467,2
LEFT,-5.0213,1.0703,2
LEFT,-4.8845,1.821,2
LEFT,-4.255,-2.6043,2
LEFT,-5.7961,-2.8421,2
LEFT,-4.9033,-2.8927,2
LEFT,-4.6684,-1.7713,2
LEFT,-4.3775,-2.8422,2
LEFT,-4.7643,1.6534,2
LEFT,-5.189,-1.3351,2
LEFT,-4.3216,-2.4459,2
LEFT,-5.113,0.9342,2
LEFT,-4.9271,-1.7969,2
LEFT,-5.9105,-1.9698,2
LEFT,-5.3935,-0.6287,2
LEFT,-5.8039,-1.2791,2
LEFT,-5.8753,-1.3056,2
LEFT,-5.7922,-1.91,2
LEFT,-5.2699,0.8937,2
LEFT,-4.1092,-1.1689,2
LEFT,-4.7341,0.9587,2
LEFT,-4.2227,-2.0742,2
LEFT,-4.2917,-1.1288,2
LEFT,-5.0934,1.3681,2
LEFT,-4.431,-1.5683,2
LEFT,-5.4985,-2.4838,2
LEFT,-5.1366,2.8015,2
LEFT,-4.6828,-2.9718,2
LEFT,-5.0197,-0.0134,2
LEFT,-4.7031,-0.4043,0
LEFT,-5.0718,1.1084,2
LEFT,-4.5205,-0.4218,0
LEFT,-4.7692,2.7607,2
LEFT,-4.3644,-2.8644,2
LEFT,-5.218,-0.336,2
LEFT,-4.2691,-2.521,2
LEFT,-5.7726,-2.5267,2
LEFT,-4.9959,1.4614,2
LEFT,-5.4101,-2.4273,2
LEFT,-5.8137,-1.5787,2
LEFT,-5.7514,-2.1052,2
LEFT,-5.8925,-2.717,2
LEFT,-4.7866,2.4087,2
LEFT,-4.9193,-0.8197,2
LEFT,-5.8011,-2.2672,2
LEFT,-4.8142,1.1365,2
RIGHT,5.3808,-2.9226,3
RIGHT,5.2145,-2.7697,3
RIGHT,5.2973,0.3302,3
RIGHT,4.588,0.4959,3
RIGHT,4.2029,-2.9381,3
RIGHT,4.596,0.664,3
RIGHT,5.0663,-0.1175,3
RIGHT,4.8222,1.3459999999999999,3
RIGHT,5.8008,-2.6696,3
RIGHT,5.5483,-1.8914,3
RIGHT,4.2364,-2.3569,3
RIGHT,4.6291,-1.1063,3
RIGHT,4.7938,1.9953,3
RIGHT,4.5777,-1.2766,3
RIGHT,4.7618,0.5665,3
RIGHT,5.1257,-2.1731,3
RIGHT,4.9451,0.2091,3
RIGHT,4.0009,-1.0763,3
RIGHT,5.7181,-2.5664,3
RIGHT,4.7465,-1.4919,3
RIGHT,4.2928,-2.4548,3
RIGHT,4.2474,-1.5015,3
RIGHT,5.6419,-1.8085,3
RIGHT,5.9911,-2.9125,3
RIGHT,4.3672,-1.3742,3
RIGHT,4.7374,-1.6722,3
RIGHT,4.7071,0.6907,3
RIGHT,4.9915,0.275,3
RIGHT,4.9425,-1.8872,3
RIGHT,4.7377,-2.7942,3
RIGHT,5.4497,-2.2032,3
RIGHT,5.3786,-1.3878,3
RIGHT,5.0334,-2.4723,3
RIGHT,5.4045,-2.0809,3
RIGHT,5.2829,-1.4714,3
RIGHT,4.9084,0.4223,3
RIGHT,4.717,-1.2429,3
RIGHT,5.6771,-2.8329,3
RIGHT,5.8837,-1.9452,3
RIGHT,4.19,-2.4335,3
RIGHT,5.3167,-1.6769999999999998,3
RIGHT,4.5811,0.3259,3
RIGHT,5.459,-1.4980000000000002,3
RIGHT,4.8891,-1.4054,3
RIGHT,5.9025,-1.3464,3
RIGHT,5.4813,-2.5429,3
RIGHT,5.265,-2.8681,3
RIGHT,5.0758,2.8902,3
RIGHT,4.3595,-1.2622,3
RIGHT,4.292,-2.5404,3
RIGHT,4.8866,-1.9085,3
RIGHT,5.3132,-0.0925,3
RIGHT,5.9183,-2.3199,3
RIGHT,4.8151,2.335,3
RIGHT,5.8905,-2.9601,3
RIGHT,5.5106,-1.2825,3
RIGHT,5.3723,-0.8501,3
RIGHT,5.0924,2.3302,3
RIGHT,5.1312,-2.6381,3
RIGHT,5.632999999999999,-1.8201,3
RIGHT,4.5471,-0.0886,3
RIGHT,4.7823,-1.558,3
RIGHT,5.0215,-0.1812,3
RIGHT,5.3313,-1.2448,3
RIGHT,5.5742,-2.0269,3
RIGHT,5.1586,-0.9117,3
RIGHT,5.6579,-1.3141,3
RIGHT,4.6335,-1.1348,3
RIGHT,4.7716,1.3816,3
RIGHT,4.5318,0.4156,3
RIGHT,5.3613,0.848,3
RIGHT,4.8824,2.2726,3
RIGHT,4.7938,2.1551,3
RIGHT,4.8454,0.046,3
RIGHT,4.7028,-0.2282,3
RIGHT,4.205,-1.9171,3
RIGHT,4.9435,1.9983,3
RIGHT,5.6455,-2.294,3
RIGHT,4.3091,-1.5245,3
RIGHT,5.1143,-2.5024,3
RIGHT,5.0314,1.1811,3
RIGHT,4.5528,-1.42,3
RIGHT,4.553999999999999,0.6216,3
RIGHT,5.747999999999999,-1.34,3
RIGHT,4.0462,-2.5805,3
RIGHT,4.1065,-2.3609,3
RIGHT,5.4735,-1.9553,3
RIGHT,4.8704,0.4729,3
RIGHT,5.2121,-2.5357,3
RIGHT,4.5358,-1.9681,3
RIGHT,4.4821,-1.1743,3
RIGHT,5.4747,-1.0616,3
RIGHT,5.129,-1.3509,3
RIGHT,4.9581,-0.1576,3
RIGHT,4.7579,-0.0263,3
RIGHT,4.7599,-0.9549,3
RIGHT,4.7541,-1.6948,3
RIGHT,4.2569,-1.344,3
RIGHT,5.2431,0.8951,3
RIGHT,4.7551,1.7432,3
RIGHT,5.1784,2.2369,3
RIGHT,4.2827,-1.9161,3
RIGHT,4.7609,2.1251,3
RIGHT,4.8324,-0.8149,3
RIGHT,4.8106,-1.4284,3
RIGHT,4.3232,-1.2647,3
RIGHT,5.0295,-1.1818,3
RIGHT,4.7432,0.9757,3
RIGHT,5.8391,-1.1189,3
RIGHT,4.6371,-0.909,3
RIGHT,5.8177,-1.4809,3
RIGHT,5.0659,0.7335,3
RIGHT,5.0446,-2.2068,3
RIGHT,4.7943,1.0633,3
RIGHT,4.7498,-1.9022,3
RIGHT,5.6562,-1.1967,3
RIGHT,5.4947,0.831,3
RIGHT,4.6909,0.8022,3
RIGHT,5.5967,-1.3523,3
RIGHT,5.8411,-2.8982,3
RIGHT,5.1576,-2.3572,3
RIGHT,4.4955,-1.0837,3
RIGHT,4.5760000000000005,-2.0717,3
RIGHT,4.8803,0.6372,3
RIGHT,4.7562,-0.674,3
RIGHT,5.4055,-0.0055,3
RIGHT,5.0386,-2.3231,3
RIGHT,4.7446,0.2037,3
RIGHT,4.9794,0.4791,3
RIGHT,4.8469,2.0909,3
RIGHT,5.0537,-1.1173,3
RIGHT,5.3824,0.0353,3
RIGHT,5.9688,-1.8192,3
RIGHT,5.1553,-0.7571,3
RIGHT,4.5938,0.6674,3
RIGHT,4.0495,-1.5851,3
RIGHT,4.7103,-0.7137,3
RIGHT,5.2843,-1.8039,3
RIGHT,5.2388,1.1023,3
RIGHT,4.8757,-2.2759,3
RIGHT,4.4812,-1.0382,3
RIGHT,5.1289,-1.222,3
RIGHT,5.2857,-0.7996,3
RIGHT,4.9518,1.9483,3
RIGHT,5.6452,-2.2617,3
RIGHT,5.1901,-0.6942,3
RIGHT,5.1143,-0.7533,3
RIGHT,5.5432,-2.8188,3
RIGHT,4.8829,1.0284,3
RIGHT,5.2563,0.0546,3
RIGHT,5.4634,0.2345,3
RIGHT,5.1795,0.8741,3
RIGHT,4.7297,-2.4551,3
RIGHT,5.2107,0.5164,3
RIGHT,4.7812,-1.6667,3
RIGHT,5.1304,-2.0023,3
RIGHT,5.3077,0.6726,3
RIGHT,5.1839,1.0427,3
RIGHT,4.3465,-2.2482,3
RIGHT,5.154,-1.9438,3
RIGHT,4.5019,-1.4427,3
RIGHT,4.8167,-2.7778,3
RIGHT,4.3142,-2.3337,3
RIGHT,4.7522,0.4832,3
RIGHT,4.9121,1.6729,3
RIGHT,5.5326,-2.1572,3
RIGHT,4.9212,1.0895,3
RIGHT,4.8839,1.1901,3
RIGHT,5.1967,-1.3277,3
RIGHT,4.0394,-2.1092,3
RIGHT,4.711,0.6497,3
RIGHT,5.0159,2.4018,3
RIGHT,4.592,-2.7462,3
RIGHT,5.3032,-1.9073,3
RIGHT,4.3392,-1.9992,3
RIGHT,5.0012,0.9769,3
RIGHT,5.4201,0.1592,3
RIGHT,5.3334,0.9299,3
RIGHT,5.8307,-2.0554,3
RIGHT,4.926,-1.2148,3
RIGHT,5.1229,-1.37,3
RIGHT,4.4928,-2.5536,3
RIGHT,5.5051,-1.3359999999999999,3
RIGHT,4.1175,-1.3042,3
RIGHT,5.0319,2.5793,3
RIGHT,5.9324,-1.2301,3
RIGHT,4.298,-1.0882,3
RIGHT,4.8866,1.4443,3
RIGHT,4.944,2.5141,3
RIGHT,4.9239999999999995,2.5069999999999997,3
RIGHT,4.9873,-1.0286,3
RIGHT,5.4044,-1.2664,3
RIGHT,4.4209,-2.3131,3
RIGHT,5.4001,-2.9516,3
RIGHT,4.5255,0.4018,3
RIGHT,5.4997,0.0905,3
RIGHT,4.4011,-1.4035,3
RIGHT,4.0771,-1.3313,3
RIGHT,5.4192,-0.5144,3
RIGHT,5.559,-2.1028,3
RIGHT,5.1117,1.5182,3
RIGHT,4.7251,-0.5464,3
RIGHT,5.1208,0.5351,3
RIGHT,5.2757,-1.9711,3
RIGHT,5.474,-0.9005,3
RIGHT,5.3238,-1.2026,3
RIGHT,5.1894,2.1696,3
RIGHT,5.0663,-0.2495,3
RIGHT,5.3967,-2.4188,3
RIGHT,4.5593,-1.1087,3
RIGHT,4.8483,-1.6392,3
RIGHT,5.0889999999999995,-2.7418,3
RIGHT,4.8132,-0.7617,3
RIGHT,4.3352,-1.2563,3
RIGHT,5.3764,-1.8261,3
RIGHT,4.2108,-2.1799,3
RIGHT,4.285,-1.6994,3
RIGHT,4.8872,-2.645,3
RIGHT,4.827,2.0788,3
RIGHT,5.4984,-0.42100000000000004,3
RIGHT,5.169,-1.9019,3
RIGHT,5.3611,-1.9045,3
RIGHT,5.23,1.6804,3
RIGHT,5.3996,-1.7877,3
RIGHT,5.016,-0.5218,3
RIGHT,5.2027,-1.7392,3
RIGHT,4.4781,-1.4212,3
RIGHT,5.5651,-2.2592,3
RIGHT,4.8142,2.3345,3
RIGHT,4.8216,-2.3319,3
RIGHT,4.9629,0.3649,3
RIGHT,4.0969999999999995,-2.9868,0
RIGHT,4.1019,-1.6298,3
RIGHT,4.8604,1.7536,3
RIGHT,5.4983,-1.9321,3
RIGHT,4.3103,-1.1698,3
RIGHT,4.7774,-0.0348,3
RIGHT,4.0204,-1.771,3
RIGHT,4.2703,-1.2243,3
RIGHT,4.4889,-2.6717,3
RIGHT,4.3899,-1.0323,3
RIGHT,5.9613,-1.2498,3
RIGHT,4.8457,-0.8904,3
RIGHT,5.6619,-1.2254,3
RIGHT,5.9376,-1.2274,3
RIGHT,4.0548,-1.14,3
RIGHT,5.9149,-1.7578,3
RIGHT,4.8234,2.2097,3
RIGHT,4.9177,0.9433,3
RIGHT,5.1199,2.2173,3
RIGHT,5.3862,-2.8645,3
RIGHT,5.3261,-0.6191,3
RIGHT,4.4857,-2.3432,3
RIGHT,5.6714,-2.4939,3
RIGHT,4.5676,-2.4094,3
RIGHT,5.3353,-1.8327,3
RIGHT,5.8438,-2.2035,3
RIGHT,5.242999999999999,-2.345,3
RIGHT,4.9934,1.109,3
RIGHT,5.18,1.7794,3
RIGHT,4.5374,-1.7136,3
RIGHT,4.8414,-2.5955,3
RIGHT,5.2059,1.072,3
RIGHT,4.5822,-2.3606,3
RIGHT,4.5904,-1.3071,3
RIGHT,4.7667,0.9801,3
RIGHT,4.5631,0.1948,3
RIGHT,5.9228,-2.5359,3
RIGHT,5.0698,-1.8078,3
RIGHT,4.2373,-1.0131,3
RIGHT,4.9818,0.0358,3
RIGHT,5.7647,-1.0682,3
RIGHT,4.9866,-1.4080000000000001,3
RIGHT,5.3353,-1.7284,3
RIGHT,5.0014,-2.3829,3
RIGHT,4.3021,-2.117,3
RIGHT,4.8024,0.3884,3
RIGHT,5.3975,-0.0984,3
RIGHT,5.7933,-1.0592,3
RIGHT,5.0361,-2.6514,3
RIGHT,5.1545,1.2329,3
RIGHT,4.6525,0.4776,3
RIGHT,4.9581,2.5447,3
RIGHT,5.8466,-2.2143,3
RIGHT,5.2781,-1.6067,3
RIGHT,4.2042,-1.6974,3
RIGHT,5.492999999999999,-2.9034,3
RIGHT,4.7082,-2.9792,3
RIGHT,5.6585,-1.5547,3
RIGHT,5.2071,1.1577,3
RIGHT,4.974,2.8189,3
RIGHT,5.3642,0.081,3
RIGHT,4.7727,-0.2745,3
RIGHT,5.1329,-2.0995,3
RIGHT,4.1698,-2.1008,3
RIGHT,4.6783,-1.1338,3
RIGHT,4.8871,-2.0544,3
RIGHT,4.0567,-2.7836,0
RIGHT,5.5721,-1.4733,3
RIGHT,5.2003,2.8668,3
RIGHT,5.2562,-0.14800000000000002,3
RIGHT,4.7796,-1.9909,3
RIGHT,5.8149,-2.636,3
RIGHT,4.7328,-0.6094,3
RIGHT,5.6872,-2.4347,3
RIGHT,4.8563,-1.0725,3
RIGHT,4.7978,1.6224,3
RIGHT,4.7919,-2.6667,3
RIGHT,5.0215,1.4409,3
RIGHT,4.0585,-1.9227,3
RIGHT,4.7464,-0.005,3
RIGHT,5.9939,-2.6589,3
RIGHT,4.0639,-2.1613,3
RIGHT,5.1044,2.1737,3
RIGHT,5.1812,-0.0681,3
RIGHT,4.9404,-0.2106,3
RIGHT,5.162000000000001,0.4504,3
RIGHT,5.8734,-2.9434,3
RIGHT,4.9433,0.8086,3
RIGHT,5.8528,-2.4773,3
RIGHT,4.8984,-1.137,3
RIGHT,4.2178,-1.4292,3
RIGHT,5.19,-2.2807,3
RIGHT,5.046,2.499,3
RIGHT,4.0184,-1.0188,3
RIGHT,5.3917,-2.3499,3
RIGHT,5.0043,-1.7062,3
RIGHT,4.894,-2.168,3
RIGHT,4.8964,1.2658,3
RIGHT,5.6935,-1.681,3
RIGHT,4.5418,-2.3571,3
RIGHT,4.7666,2.1182,3
RIGHT,5.2634,-1.5684,3
RIGHT,5.7905,-1.3677,3
RIGHT,5.6128,-2.8672,3
RIGHT,5.2151,-0.2772,3
RIGHT,5.7015,-1.6469,3
RIGHT,4.2226,-2.3048,3
RIGHT,4.8128,-2.2665,3
RIGHT,5.1447,0.9811,3
RIGHT,4.9553,2.4259,3
RIGHT,4.6039,-2.1443,3
RIGHT,4.7410000000000005,-1.4461,3
RIGHT,5.1187,-2.7226,3
RIGHT,5.457999999999999,-0.5501,3
RIGHT,5.1257,-1.666,3
RIGHT,5.0794,-0.5001,3
RIGHT,5.0631,-0.5058,3
RIGHT,4.5291,-1.3041,3
RIGHT,5.392,0.6194,3
RIGHT,5.7433,-2.8826,3
RIGHT,5.3112,-2.1185,3
RIGHT,4.6987,-2.7485,3
RIGHT,5.3864,-2.8463,3
RIGHT,4.8422,-0.774,3
RIGHT,5.0506,-2.6705,3
RIGHT,5.2732,-1.4698,3
RIGHT,4.3707,-1.3264,3
RIGHT,4.5537,0.7013,3
RIGHT,5.1733,-2.0897,3
RIGHT,5.3406,-1.3726,3
RIGHT,5.7789,-1.5383,3
RIGHT,5.3626,-2.9045,3
RIGHT,5.0048,-0.4062,3
RIGHT,5.0996,2.2324,3
RIGHT,5.2216,1.8024,3
RIGHT,5.2375,-2.0184,3
RIGHT,4.6236,-1.2701,3
RIGHT,4.8929,0.4572,3
RIGHT,4.0261,-1.0184,3
RIGHT,5.0127,-2.6667,3
RIGHT,5.8642,-2.9324,3
RIGHT,4.2014,-2.1709,3
RIGHT,4.3401,-1.806,3
RIGHT,5.0127,2.7215,3
RIGHT,5.4427,0.4176,3
RIGHT,4.5934,-2.3693,3
RIGHT,4.9618,-1.9533,3
RIGHT,5.0999,-1.4418,3
RIGHT,4.7833,-1.7775,3
RIGHT,5.9932,-1.1911,3
RIGHT,4.8132,-2.2597,3
RIGHT,4.981,1.561,3
RIGHT,4.7712,-2.7712,3
RIGHT,4.9747,0.8587,3
RIGHT,5.2663,-0.0427,3
RIGHT,5.1079,1.6598,3
RIGHT,5.4366,0.7432,3
RIGHT,5.0504,-1.5507,3
RIGHT,4.6582,-2.6016,3
RIGHT,4.6868,-0.4393,3
RIGHT,4.1848,-2.0493,3
RIGHT,4.5325,-2.7314,3
RIGHT,5.1287,1.237,3
RIGHT,4.5116,-2.2173,3
RIGHT,4.8938,-1.0489,3
RIGHT,4.3587,-1.6245,3
RIGHT,4.8094,-0.4264,3
RIGHT,4.6632,0.2796,3
RIGHT,5.6868,-2.7983,3
RIGHT,4.4734,-2.83,3
RIGHT,5.2079,-1.4151,3
RIGHT,4.4436,-1.301,3
RIGHT,5.2913,-2.9547,3
RIGHT,5.4889,-0.6955,3
RIGHT,5.2047,-2.4272,3
RIGHT,4.2194,-1.3281,3
RIGHT,4.5867,-1.4046,3
RIGHT,4.7813,-1.7426,3
RIGHT,4.4586,-1.8737,3
RIGHT,4.5451,0.6823,3
RIGHT,4.9653,2.9819999999999998,3
RIGHT,4.8389,2.0502,3
RIGHT,5.0798,2.6353,3
RIGHT,4.9204,-1.4518,3
RIGHT,5.0017,-0.7648,3
RIGHT,4.0577,-2.2345,3
RIGHT,5.0886,-2.0044,3
RIGHT,5.1131,-2.4135,3
RIGHT,4.8944,-2.2405,3
RIGHT,5.1359,-2.4618,3
RIGHT,5.6119,-1.5361,3
RIGHT,4.699,-1.5759,3
RIGHT,5.3766,-1.0283,3
RIGHT,4.7349,-2.7995,3
RIGHT,4.872,1.0629,3
RIGHT,4.9615,-0.0094,3
RIGHT,4.8241,1.5203,3
RIGHT,4.7073,-0.4111,3
RIGHT,5.1692,1.9462,3
RIGHT,5.3521,-2.6443,3
RIGHT,4.6961,0.7368,3
RIGHT,4.8266,1.4526,3
RIGHT,4.8288,-2.9333,3
RIGHT,5.4131,-2.8377,3
RIGHT,4.2422,-1.8948,3
RIGHT,5.9598,-1.12,3
RIGHT,4.7427,-1.5425,3
RIGHT,4.8413,2.4176,3
RIGHT,4.8731,0.1206,3
RIGHT,5.8252,-2.0662,3
RIGHT,5.3955,-2.9301,3
RIGHT,5.9125,-1.8029,3
RIGHT,5.8744,-1.5133,3
RIGHT,5.5504,-2.013,3
RIGHT,4.5326,-0.5761,3
RIGHT,4.9689,2.9832,3
RIGHT,5.2506,-1.2785,3
RIGHT,5.0508,-2.4053,3
RIGHT,4.578,-2.8295,3
RIGHT,5.6923,-2.3532,3
RIGHT,4.9529,2.4223,3
RIGHT,4.8506,2.7853,3
RIGHT,4.9087,1.0181,3
RIGHT,5.3079,-2.1537,3
RIGHT,4.8152,1.5569,3
RIGHT,4.1559,-1.1004,3
RIGHT,5.2927,-1.4647,3
RIGHT,4.8247,-0.5361,3
RIGHT,5.4508,-2.3922,3
RIGHT,4.5628,0.446,3
RIGHT,4.5237,-2.8092,3
RIGHT,5.9944,-2.5084,3
RIGHT,5.3371,-1.2107,3
RIGHT,4.5732,-1.8751,3
RIGHT,5.3829,-1.9723,3
RIGHT,5.0684,-1.1354,3
RIGHT,4.9714,2.3509,3
RIGHT,5.4489,-0.696,3
RIGHT,5.86,-1.2766,3
RIGHT,4.6479,0.3216,3
RIGHT,5.7518,-1.7957,3
RIGHT,5.7306,-1.8412,3
RIGHT,4.7632,-1.4555,3
RIGHT,4.5326,-1.5683,3
RIGHT,4.7164,-1.568,3
RIGHT,4.9603,2.6802,3
RIGHT,4.7709,1.2537,3
RIGHT,5.1195,-1.6687,3
RIGHT,5.6769,-2.6508,3
RIGHT,4.5095,0.9232,3
RIGHT,4.6993,-0.2687,3
RIGHT,5.2215,1.837,3
RIGHT,5.9881,-2.7211,3
RIGHT,4.8586,2.559,3
RIGHT,4.3804,-1.7362,3
RIGHT,5.234,-0.3137,3
RIGHT,5.2569,0.0548,3
RIGHT,5.4879999999999995,-1.2781,3
RIGHT,4.8823,2.4555,3
RIGHT,4.0653,-1.8958,3
RIGHT,5.0429,0.1053,3
RIGHT,4.9096,-2.6132,3
RIGHT,4.8095,-1.4328,3
RIGHT,4.6361,-1.0959,3
RIGHT,5.4141,-2.778,3
RIGHT,4.5872,-1.8456,3
RIGHT,4.4868,-1.0879,3
RIGHT,4.0573,-1.1851,3
RIGHT,4.8006,2.8698,3
NOISE,-7.1059,-2.8633,0
NOISE,3.0814,-2.3480000000000003,0
NOISE,2.98,0.6736,0
NOISE,7.318,2.2302,0
